Hospital Id,Hospital Name,State,District,Hospital Contact,Current Specialities,Hospital Type,Empanelment Type,OnBoarded For Convergence Scheme
HOSP7P193849,DHARAMSHILA NARAYANA SUPERSPECIALITY HOSPITAL,NCT OF Delhi,EAST DELHI,9811644360,"M1, M2, S8, M7, S7, M4, M5, M6, S1, S10, S11, S12, S13, S15, S2, S5, S6, S9",Private(For Profit),PMJAY,No
HOSP7P193851,YUGRISHI GLOBAL HEALTHCARE PRODUCTS,NCT OF Delhi,SOUTH WEST DELHI,8595599326,CP,Private(For Profit),Only CGHS,No
HOSP7P193908,parth panchkarma and infertility centre,NCT OF Delhi,SOUTH WEST DELHI,8076421857,OC,,Only CGHS,Yes
HOSP7P194193,Sandhya Healthcare Ayurvedic Hospital  A Unit of Sandhya Health Care,NCT OF Delhi,NORTH WEST DELHI,8368009669,"CP, MG",Private(For Profit),Only CGHS,Yes
HOSP7P194887,KRM AYURVEDA PVT LTD,NCT OF Delhi,NORTH WEST DELHI,8076305253,"CP, OC",Private(For Profit),Only CGHS,Yes
HOSP7P195698,SUSHILA HOSPITAL,NCT OF Delhi,NORTH WEST DELHI,9873691154,"BM, CP, MG, MN, MP, OC, SB, SG, SN, SO, SP, SS, SU",Private(For Profit),Only CGHS,No
HOSP7P195832,Dr Rohit s Dental Care,NCT OF Delhi,NORTH WEST DELHI,9910025593,SM,,Only CGHS,No
HOSP7P199310,PUSHPAWATI SINGHANIA HOSPITAL AND RESEARCH INSTITUTE,NCT OF Delhi,SOUTH DELHI,9871999424,"CP, MC, MG, MO, OC, SB, SG, SL, SN, SP, SU, SV",Private(Not For Profit),State Specific Empanelment,No
HOSP7P200457,JEENA SIKHO LIFECARE LIMITED,NCT OF Delhi,EAST DELHI,9971507557,OC,Private(For Profit),Only CGHS,No
HOSP7P200489,JEENA SIKHO LIFECARE LIMITED,NCT OF Delhi,SOUTH WEST DELHI,9971507557,OC,Private(For Profit),Only CGHS,No
HOSP7P200504,Mann Ayurvedic and Yoga Centre ,NCT OF Delhi,EAST DELHI,9639537295,-NA-,,Only CGHS,No
HOSP7P200535,AYURVEDIC VAIDYA SHALA PVT LTD,NCT OF Delhi,WEST DELHI,7982587329,-NA-,,Only CGHS,Yes
HOSP7P200936,NISARG AYURVEDA,NCT OF Delhi,SOUTH WEST DELHI,8851200811,CP,,Only CGHS,No
